"﻿""Donorregistratie""","""Perioden""","""Regio's""","""Donorregister, vastgelegde keuze (x 1 000)"""
"""Totaal wel of niet geregistreerd""","""2021*""","""Dongen""","23,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Dordrecht""","103,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Dordrecht""","104,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Dordrecht""","104,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Drechterland""","17,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Drechterland""","17,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Drechterland""","17,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Drimmelen""","24,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Drimmelen""","24,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Drimmelen""","24,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Dronten""","35,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Dronten""","36,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Dronten""","36,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Druten""","16,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Druten""","16,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Druten""","16,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Duiven""","22,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Duiven""","22,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Duiven""","22,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Echt-Susteren""","28,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Echt-Susteren""","28,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Echt-Susteren""","28,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Edam-Volendam""","31,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Edam-Volendam""","31,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Edam-Volendam""","32,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Ede""","99,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Ede""","100,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Ede""","101,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Eemnes""",8
"""Totaal wel of niet geregistreerd""","""2020""","""Eemnes""","8,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Eemnes""","8,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Eemsdelta""","40,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Eemsdelta""","40,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Eemsdelta""","40,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Eersel""","16,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Eersel""","17,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Eersel""","17,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Eijsden-Margraten""","22,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Eijsden-Margraten""","22,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Eijsden-Margraten""","22,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Eindhoven""","205,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Eindhoven""","207,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Eindhoven""","209,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Elburg""","19,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Elburg""","19,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Elburg""","20,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Emmen""",95
"""Totaal wel of niet geregistreerd""","""2020""","""Emmen""","95,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Emmen""","95,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Enkhuizen""","16,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Enkhuizen""","16,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Enkhuizen""","16,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Enschede""","140,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Enschede""","141,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Enschede""","141,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Epe""","29,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Epe""","29,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Epe""","29,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Ermelo""","23,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Ermelo""","23,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Ermelo""","23,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Etten-Leur""",38
"""Totaal wel of niet geregistreerd""","""2020""","""Etten-Leur""","38,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Etten-Leur""","38,3"
"""Totaal wel of niet geregistreerd""","""2019""","""De Fryske Marren""","45,1"
"""Totaal wel of niet geregistreerd""","""2020""","""De Fryske Marren""","45,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""De Fryske Marren""","45,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Geertruidenberg""","18,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Geertruidenberg""","18,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Geertruidenberg""","19,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Geldrop-Mierlo""","34,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Geldrop-Mierlo""","34,9"
